x,y
-228,228
-204,228
-180,228
-156,228
-132,228
-108,228
-84,228
-228,204
-228,180
-108,204
-228,156
-228,132
-228,108
-228,84
-204,84
-108,180
-60,228
-36,228
-12,228
12,228
36,228
60,228
84,228
108,228
36,204
132,228
156,228
-180,84
-180,108
-180,132
-180,156
-180,180
-84,180
-60,180
-132,180
-156,180
-36,180
-12,180
-12,156
-12,132
12,132
36,132
60,132
60,108
60,84
60,60
60,36
60,12
60,-12
84,-12
108,-12
132,-12
132,-36
36,-12
12,-12
132,-60
132,-84
132,-108
156,-108
180,-108
204,-108
228,-108
180,-84
180,-60
180,-36
180,-12
180,12
180,36
156,36
132,36
108,36
108,60
108,84
108,108
108,132
108,156
228,-84
228,-60
228,-36
228,-12
228,12
228,36
228,60
228,84
228,108
228,132
228,156
228,180
228,204
228,228
204,84
180,84
204,228
180,228
36,180
-12,-12
-36,-12
-36,12
-36,36
-12,36
12,36
12,60
12,84
-12,84
-36,84
-60,84
-60,108
-84,84
-84,60
-60,132
-84,132
-108,132
-132,132
-132,108
-132,84
-132,60
-132,36
-156,36
-180,36
-204,36
-228,36
-228,12
-228,-12
-228,-36
-204,-12
-228,-60
-180,-12
-156,-12
-132,-12
-108,-12
-132,-36
-132,-60
-156,-60
-180,-60
-84,36
-84,12
156,84
156,108
156,132
180,132
180,156
180,180
156,180
132,180
108,180
84,180
60,180
-84,-12
-228,-84
-228,-108
-228,-132
-228,-156
-204,-156
-180,-156
-156,-156
-132,-156
-108,-156
-84,-156
-84,-180
-60,-156
-36,-156
-36,-132
-36,-108
-12,-108
-84,-204
-60,-204
-36,-204
-12,-204
12,-204
12,-180
12,-156
36,-156
36,-132
36,-108
12,-108
36,-204
60,-204
84,-204
108,-204
132,-204
156,-204
180,-204
204,-204
228,-204
228,-180
228,-156
204,-156
180,-156
156,-156
132,-156
108,-156
84,-156
84,-132
84,-108
84,-84
84,-60
-108,-204
-132,-204
-156,-204
-180,-204
-204,-204
